time,title,author,page
2019-12-30,風の万里 黎明の空 (下) 十二国記 4 (…,小野 不由美,400
2019-12-30,風の万里 黎明の空 (上) 十二国記 4 (…,小野 不由美,368
2019-12-26,風の海 迷宮の岸 十二国記 2 (新潮文庫),小野 不由美,390
2019-12-22,月の影 影の海 (下) 十二国記 1 (新潮…,小野 不由美,267
2019-12-22,月の影 影の海 (上) 十二国記 1 (新潮…,小野 不由美,278
2019-12-22,ソロモンの犬 (文春文庫),道尾 秀介,388
2019-12-22,愚行録 (創元推理文庫),貫井 徳郎,320
2019-11-17,彼女がその名を知らない鳥たち (幻冬舎文庫),沼田 まほかる,389
2019-10-22,そして生活はつづく (文春文庫),星野 源,204
2019-06-22,EAT&RUN 100マイルを走る僕の旅,"スコット・ジュレク,スティーヴ・フリードマン",368
2019-06-13,人工知能は人間を超えるか,松尾 豊,0
2019-06-05,宇宙が教える人生の方程式,佐治 晴夫,174
2019-06-02,こわれもの (徳間文庫),浦賀 和宏,375
2019-05-26,ホーキング、ブラックホールを語る:BBCリー…,スティーヴン・W・ ホーキング,96
2019-05-24,宇宙授業,中川 人司,144
2019-05-21,代償 (角川文庫),伊岡 瞬,456
2019-05-19,死ぬこと以外かすり傷,箕輪 厚介,173
2019-05-15,みかづき,森 絵都,472
2019-05-12,和菓子のアン (光文社文庫),坂木 司,405
2019-05-04,エンド・ゲーム 常野物語 (集英社文庫),恩田 陸,368
2019-05-01,蒲公英草紙 常野物語 (集英社文庫),恩田 陸,280
2019-04-28,ALONE TOGETHER (双葉文庫),本多 孝好,302
2019-04-25,たった1日で基本が身に付く!  HTML&C…,"WINGSプロジェクト,宮本 麻矢",208
2019-04-25,たった1日で基本が身に付く! Ruby on…,WINGSプロジェクト 竹馬 力,192
2019-04-24,ちょっと今から仕事やめてくる (メディアワー…,北川恵海,258
2019-04-23,天使の梯子 Angel's Ladder (…,村山 由佳,296
2019-04-22,天使の卵 エンジェルス・エッグ (集英社文庫),村山 由佳,214
2019-04-17,満願 (新潮文庫),米澤 穂信,422
2019-04-17,授乳 (講談社文庫),村田 沙耶香,240
2019-04-15,殺人出産 (講談社文庫),村田 沙耶香,208
2019-04-15,ヘヴン (講談社文庫),川上 未映子,320
2019-04-15,あるキング (徳間文庫),伊坂 幸太郎,299
2019-04-11,スロウハイツの神様(下) (講談社文庫),辻村 深月,488
2019-04-11,スロウハイツの神様(上) (講談社文庫),辻村 深月,368
2019-04-09,凍りのくじら (講談社文庫),辻村 深月,576
2019-04-07,夜の国のクーパー (創元推理文庫),伊坂 幸太郎,461
2019-03-29,ユージニア (角川文庫),恩田 陸,420
2019-03-26,オイアウエ漂流記 (新潮文庫),荻原 浩,684
2019-03-22,総理にされた男,中山 七里,344
2019-03-16,億男,川村 元気,243
2019-03-15,裸でも生きる――25歳女性起業家の号泣戦記 …,山口 絵理子,263
2019-03-14,星々の舟　Voyage Through St…,村山 由佳,432
2019-03-12,カエルの楽園,百田尚樹,256
2019-03-10,やがて海へと届く,彩瀬 まる,226
2019-03-06,名前探しの放課後(下) (講談社文庫),辻村 深月,456
2019-03-06,名前探しの放課後(上) (講談社文庫),辻村 深月,448
2019-03-02,林 修の「今読みたい」日本文学講座,,319
2019-02-28,七つの会議 (集英社文庫),池井戸 潤,496
2019-02-22,TAS 特別師弟捜査員,中山 七里,328
2019-02-20,砂漠 (新潮文庫),伊坂 幸太郎,546
2019-02-19,3652―伊坂幸太郎エッセイ集,伊坂 幸太郎,251
2019-02-16,すべての雲は銀の…　Silver Linin…,村山 由佳,352
2019-02-16,すべての雲は銀の…　Silver Linin…,村山 由佳,320
2019-02-13,護られなかった者たちへ,中山 七里,384
2019-02-11,キャプテンサンダーボルト,"阿部 和重,伊坂 幸太郎",528
2019-02-11,か「」く「」し「」ご「」と「,住野 よる,275
2019-02-03,下流志向 学ばない子どもたち 働かない若者た…,内田 樹,280
2019-01-29,風は西から,村山 由佳,407
2019-01-26,パコと魔法の絵本 (幻冬舎文庫),関口 尚,253
2019-01-22,まんがで読む 源氏物語 (学研まんが日本の古…,,207
2019-01-22,SOSの猿 (中公文庫),伊坂 幸太郎,420
2019-01-22,3ステップでしっかり学ぶ Python 入門,"山田 祥寛,山田 奈美",304
2019-01-09,AIに心は宿るのか (インターナショナル新書),松原 仁,176
2019-01-08,人工知能の核心 (NHK出版新書 511),"羽生 善治,NHKスペシャル取材班",240
2019-01-08,普及版 モリー先生との火曜日,ミッチ・アルボム,203
2018-12-21,アリエナクナイ科学ノ教科書 ~空想設定を読み…,"くられ,薬理凶室",256
2018-12-21,乳と卵,川上 未映子,138
2018-12-07,オーダーメイド殺人クラブ,辻村 深月,376
2018-12-07,火花,又吉 直樹,152
2018-11-21,鹿の王 (下) ‐‐還って行く者‐‐,上橋 菜穂子,560
2018-11-21,鹿の王 (上) ‐‐生き残った者‐‐,上橋 菜穂子,568
2018-11-03,海の見える理髪店,荻原 浩,240
2018-11-03,おらおらでひとりいぐも,若竹千佐子,168
2018-10-27,コーヒーが冷めないうちに,川口俊和,348
2018-10-23,かもめ食堂 (幻冬舎文庫),群 ようこ,216
2018-10-23,月の満ち欠け,佐藤 正午,336
2018-10-16,タダイマトビラ,村田 沙耶香,184
2018-10-11,AI vs. 教科書が読めない子どもたち,新井 紀子,287
2018-10-10,陸王,池井戸 潤,592
2018-10-03,また、同じ夢を見ていた,住野 よる,264
2018-10-01,羊と鋼の森,宮下 奈都,243
2018-09-30,昨夜のカレー、明日のパン,木皿 泉,237
2018-09-28,消滅世界,村田 沙耶香,253
2018-09-24,誰でもできる、いつでもできる、どこでもできる…,井口 晃,203
2018-09-24,木洩れ日に泳ぐ魚 (文春文庫),恩田 陸,298
2018-09-22,コンビニ人間,村田 沙耶香,160
2018-09-22,ネクロポリス 下 (朝日文庫),恩田 陸,462
2018-09-13,ネクロポリス 上 (朝日文庫),恩田 陸,478
2018-09-13,魔力の胎動,東野 圭吾,320
2018-09-03,ラプラスの魔女,東野　圭吾,452
2018-08-30,きみはポラリス,三浦 しをん,301
2018-08-26,マスカレード・ホテル,東野 圭吾,464
2018-08-23,キッズファイヤー・ドットコム,海猫沢 めろん,224
2018-08-23,聖なる怠け者の冒険 (朝日文庫),森見登美彦,367
2018-08-03,いま世界の哲学者が考えていること,岡本 裕一朗,320
2018-07-28,暗幕のゲルニカ,原田 マハ,357
2018-07-25,殺人犯はそこにいる (新潮文庫),清水 潔,509
2018-07-23,屍人荘の殺人,今村 昌弘,336
2018-07-21,楽園のカンヴァス,原田 マハ,294
2018-07-14,スクラップ・アンド・ビルド,羽田 圭介,121
2018-07-10,かがみの孤城,辻村 深月,554
2018-07-10,「グズ病」が完全に治る本―「言い訳」の生活か…,S. ロバーツ,237
2018-07-09,ミライの授業,瀧本 哲史,266
2018-07-09,私に似た人,貫井徳郎,432
2018-07-05,注文の多い美術館 美術探偵・神永美有 (文春…,門井 慶喜,363
2018-07-03,「空腹」が人を健康にする,南雲吉則,190
2018-06-29,ねじの回転 下 FEBRUARY MOMEN…,恩田 陸,254
2018-06-29,ねじの回転 上 FEBRUARY MOMEN…,恩田 陸,275
2018-06-26,できる男は超少食―空腹こそ活力の源 !,船瀬 俊介,192
2018-06-25,アキラとあきら (徳間文庫),池井戸潤,720
2018-06-22,フォルトゥナの瞳 (新潮文庫),百田 尚樹,494
2018-06-18,6時間後に君は死ぬ (講談社文庫),高野 和明,432
2018-06-16,暗いところで待ち合わせ (幻冬舎文庫),乙一,262
2018-06-15,AX アックス,伊坂 幸太郎,312
2018-06-13,ジブリアニメで哲学する 世界の見方が変わるヒ…,小川 仁志,237
2018-06-12,氷菓 (角川文庫),米澤 穂信,224
2018-06-10,蜜蜂と遠雷,恩田 陸,507
2018-06-06,4%の宇宙 宇宙の96%を支配する“見えない…,"リチャード・パネク,Richard Panek",376
2018-06-06,眠れなくなる宇宙のはなし,佐藤勝彦,261
2018-06-03,教団X,中村 文則,576
2018-05-23,迷路館の殺人<新装改訂版> (講談社文庫),綾辻 行人,496
2018-05-18,水車館の殺人 <新装改訂版> (講談社文庫),綾辻 行人,464
2018-05-16,いちばん長い夜に (新潮文庫),乃南 アサ,472
2018-05-11,ドミノ (角川文庫),恩田 陸,383
2018-05-08,虐殺器官 (ハヤカワ文庫JA),伊藤 計劃,432
2018-05-05,街場の教育論,内田 樹,298
2018-04-29,十角館の殺人 <新装改訂版> (講談社文庫),綾辻 行人,512
2018-04-25,すれ違う背中を (新潮文庫),乃南 アサ,318
2018-04-21,リミット (講談社文庫),野沢 尚,528
2018-04-15,世界の終わり、あるいは始まり (角川文庫),歌野 晶午,521
2018-04-12,彼女は存在しない (幻冬舎文庫),浦賀 和宏,446
2018-04-12,([お]5-1)食堂かたつむり (ポプラ文庫),小川 糸,290
2018-04-04,黒と茶の幻想 (下) (講談社文庫),恩田 陸,384
2018-03-30,黒と茶の幻想 (上) (講談社文庫),恩田 陸,400
2018-03-23,スマホを落としただけなのに (宝島社文庫 『…,志駕 晃,403
2018-03-22,月の裏側 (幻冬舎文庫),恩田 陸,461
2018-03-17,どんな本でも大量に読める「速読」の本 (だい…,宇都出 雅巳,200
2018-03-09,眠りの森 (講談社文庫),東野 圭吾,328
2018-03-05,クジラの彼 (角川文庫),有川 浩,286
2018-03-02,母性 (新潮文庫),湊 かなえ,359
2018-03-01,正義のミカタ―I’m a loser,本多 孝好,413
2018-02-28,彼女の血が溶けてゆく (幻冬舎文庫),浦賀 和宏,430
2018-02-23,震える牛 (小学館文庫),相場 英雄,440
2018-02-16,いつか陽のあたる場所で (新潮文庫),乃南 アサ,348
2018-02-08,いつかパラソルの下で (角川文庫),森 絵都,240
2018-02-04,私の男 (文春文庫),桜庭 一樹,464
2018-01-29,何者 (新潮文庫),朝井 リョウ,346
2018-01-27,ララピポ (幻冬舎文庫),奥田 英朗,325
2018-01-27,葉桜の季節に君を想うということ (文春文庫),歌野 晶午,477
2018-01-22,MISSING (双葉文庫),本多 孝好,341
2018-01-17,風に舞いあがるビニールシート (文春文庫),森 絵都,342
2018-01-17,MOMENT (集英社文庫),本多 孝好,330
2018-01-12,本日は、お日柄もよく (徳間文庫),原田マハ,381
2018-01-10,【文庫】 その時までサヨナラ (文芸社文庫),山田 悠介,332
2018-01-07,まほろ駅前多田便利軒 (文春文庫),三浦 しをん,351
2018-01-04,ユリゴコロ,沼田 まほかる,296
2018-01-04,ハチ公の最後の恋人 (中公文庫),吉本 ばなな,146
2018-01-04,WILL (集英社文庫),本多 孝好,363
2017-12-23,アミダサマ (新潮文庫),沼田 まほかる,383
2017-12-19,スイッチを押すとき (角川文庫),山田 悠介,373
2017-12-17,神去なあなあ日常 (徳間文庫),三浦 しをん,355
